trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.weight_decay,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.weights,config.use_cnn,config.cnn_kernel_size,config.featset,config.data_path
10ac0_00020,0.42790254950523376,0.5142019987106323,0.8114684820175171,0.7947466373443604,0.9913223385810852,0.7802571058273315,54.389463663101196,True,,,8,f75cfb037cc74a3e832d742b7f84249f,2021-09-27_06-25-03,1632713103,483.95731925964355,210694,crimv3mgpu022,10.141.0.28,483.95731925964355,0,8,"20_batch_size=512,bidirectional=True,cnn_kernel_size=5,dropout_lin=0.75209,dropout_lstm=0.69929,hidden_dim=32,learning_rate=0.00054676,lstm_layers=2,lstm_output_dim=31,opt_step_size=4,weight_decay=0.00095604",0.0005467580771642529,512,True,2,32,31,0.6992896408172,0.7520936652872644,4,0.0009560358468487281,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],5,tsfresh,10min_centered
10ac0_00021,0.3573417663574219,0.6324748992919922,0.8542351722717285,0.8752486109733582,0.9272873997688293,0.8505743741989136,29.3306884765625,True,,,19,8598363b81ce4380bd8f925ff08c223c,2021-09-27_06-35-23,1632713723,613.6867082118988,210701,crimv3mgpu022,10.141.0.28,613.6867082118988,0,19,"21_batch_size=2048,bidirectional=False,cnn_kernel_size=9,dropout_lin=0.14684,dropout_lstm=0.87631,hidden_dim=8,learning_rate=0.006225,lstm_layers=1,lstm_output_dim=85,opt_step_size=12,weight_decay=7.571e-05",0.006224989448916122,2048,False,1,8,85,0.8763077392989402,0.1468418142774609,12,7.571031697282615e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],9,tsfresh,10min_centered
10ac0_00022,0.3661595284938812,0.6215987205505371,0.8507694602012634,0.8716000318527222,0.9272619485855103,0.8466537594795227,51.121357679367065,True,,,20,46bd8b45c7a24a41886fe1c0e8858ed8,2021-09-27_06-53-22,1632714802,1071.4748780727386,210690,crimv3mgpu022,10.141.0.28,1071.4748780727386,0,20,"22_batch_size=256,bidirectional=False,cnn_kernel_size=3,dropout_lin=0.0011706,dropout_lstm=0.3683,hidden_dim=32,learning_rate=6.7685e-06,lstm_layers=1,lstm_output_dim=80,opt_step_size=2,weight_decay=0.0050225",6.768455492248206e-06,256,False,1,32,80,0.36829691521072894,0.0011705830183663668,2,0.00502247713411107,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],3,tsfresh,10min_centered
10ac0_00023,0.4223727285861969,0.5658793449401855,0.8300560116767883,0.8542519211769104,0.9182753562927246,0.8244089484214783,160.36402130126953,True,,,20,3967793d7ae24677903cb75a498764cf,2021-09-27_07-36-31,1632717391,2580.0396127700806,210699,crimv3mgpu022,10.141.0.28,2580.0396127700806,0,20,"23_batch_size=64,bidirectional=False,cnn_kernel_size=10,dropout_lin=0.37266,dropout_lstm=0.73098,hidden_dim=8,learning_rate=1.8812e-06,lstm_layers=1,lstm_output_dim=10,opt_step_size=18,weight_decay=0.001483",1.8811776924779498e-06,64,False,1,8,10,0.7309849982446059,0.3726553077340208,18,0.0014830068138268692,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],10,tsfresh,10min_centered
10ac0_00024,0.5151758790016174,0.6138514280319214,0.8491382002830505,0.855949342250824,0.9473950266838074,0.8415209054946899,71.90354585647583,True,,,20,3c7b60e3e3314e73aeae470ea713015d,2021-09-27_08-01-15,1632718875,1477.5677561759949,210679,crimv3mgpu022,10.141.0.28,1477.5677561759949,0,20,"24_batch_size=2048,bidirectional=True,cnn_kernel_size=2,dropout_lin=0.59553,dropout_lstm=0.66516,hidden_dim=64,learning_rate=2.1741e-05,lstm_layers=2,lstm_output_dim=49,opt_step_size=5,weight_decay=0.0027439",2.174089670579881e-05,2048,True,2,64,49,0.6651578336641589,0.595529309986662,5,0.0027439319689871043,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],2,tsfresh,10min_centered
10ac0_00025,0.46580854058265686,0.5709523558616638,0.8346719741821289,0.8320151567459106,0.9623883366584778,0.8207153081893921,138.9503457546234,True,,,20,09df93c6dcd542c38038a91743f0750f,2021-09-27_08-48-37,1632721717,2833.171202659607,210705,crimv3mgpu022,10.141.0.28,2833.171202659607,0,20,"25_batch_size=128,bidirectional=True,cnn_kernel_size=8,dropout_lin=0.81933,dropout_lstm=0.55893,hidden_dim=64,learning_rate=1.8308e-06,lstm_layers=2,lstm_output_dim=67,opt_step_size=6,weight_decay=0.00031331",1.8308494807506264e-06,128,True,2,64,67,0.558927795116518,0.8193300478655376,6,0.00031330647627685363,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],8,tsfresh,10min_centered
10ac0_00026,0.6005331873893738,0.0,0.7128695249557495,0.7128695249557495,1.0,0.5933703184127808,64.70989227294922,True,,,7,1aaed90d0af941fab412037a8317a8f3,2021-09-27_08-56-46,1632722206,482.06849455833435,210691,crimv3mgpu022,10.141.0.28,482.06849455833435,0,7,"26_batch_size=256,bidirectional=True,cnn_kernel_size=5,dropout_lin=0.51389,dropout_lstm=0.18011,hidden_dim=32,learning_rate=0.087285,lstm_layers=1,lstm_output_dim=31,opt_step_size=13,weight_decay=8.3496e-05",0.08728462314796845,256,True,1,32,31,0.18010661543975204,0.513886668762474,13,8.349601753327651e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],5,tsfresh,10min_centered
10ac0_00027,0.4711328446865082,0.0,0.7128695249557495,0.7128695249557495,1.0,0.5933703184127808,70.8884916305542,True,,,20,2d2f494da8084e9c96e93d67b346a2ec,2021-09-27_09-21-31,1632723691,1477.4650819301605,210703,crimv3mgpu022,10.141.0.28,1477.4650819301605,0,20,"27_batch_size=128,bidirectional=False,cnn_kernel_size=3,dropout_lin=0.62096,dropout_lstm=0.4413,hidden_dim=8,learning_rate=1.1889e-06,lstm_layers=1,lstm_output_dim=71,opt_step_size=18,weight_decay=2.5015e-05",1.1888716217838263e-06,128,False,1,8,71,0.44129689240477965,0.6209633272139343,18,2.5015166445751354e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],3,tsfresh,10min_centered
10ac0_00028,0.4995431900024414,0.3989068865776062,0.7753056883811951,0.7642027139663696,0.9891910552978516,0.7259351015090942,36.08844542503357,True,,,14,d3d899b1530f42108bad6377b83bbe3e,2021-09-27_09-30-51,1632724251,551.22438788414,210671,crimv3mgpu022,10.141.0.28,551.22438788414,0,14,"28_batch_size=1024,bidirectional=True,cnn_kernel_size=9,dropout_lin=0.00032571,dropout_lstm=0.9806,hidden_dim=8,learning_rate=5.6297e-05,lstm_layers=2,lstm_output_dim=93,opt_step_size=1,weight_decay=0.00042237",5.62970192408605e-05,1024,True,2,8,93,0.9805971707646618,0.0003257118398193315,1,0.000422373399635979,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],9,tsfresh,10min_centered
10ac0_00029,0.3503677546977997,0.6428188681602478,0.8568608164787292,0.8870699405670166,0.9157938361167908,0.8550037741661072,54.281744956970215,True,,,9,ed67afc41228439c9b1bad852049be4f,2021-09-27_09-39-48,1632724788,529.9897632598877,210684,crimv3mgpu022,10.141.0.28,529.9897632598877,0,9,"29_batch_size=256,bidirectional=False,cnn_kernel_size=2,dropout_lin=0.35669,dropout_lstm=0.13699,hidden_dim=32,learning_rate=0.0052279,lstm_layers=2,lstm_output_dim=71,opt_step_size=1,weight_decay=1.4534e-05",0.00522787563188294,256,False,2,32,71,0.13698791427184676,0.3566863987904595,1,1.4533577451868999e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0],[True],2,tsfresh,10min_centered
