trial_id,loss,mcc_main_y,acc_main_y,prec_main_y,rec_main_y,f1_main_y,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.batch_size,config.bidirectional,config.lstm_layers,config.hidden_dim,config.lstm_output_dim,config.dropout_lstm,config.dropout_lin,config.opt_step_size,config.weight_decay,config.labels,config.classification_tasks,config.regression_tasks,config.loss_fnct,config.weights
fe200_00020,0.3748471438884735,0.6196601986885071,0.8504670262336731,0.863701343536377,0.9376544952392578,0.844734787940979,91.6616439819336,True,,,50,b0d0578460a347158a4aece68dddc28d,2021-09-24_16-25-29,1632489929,4790.648779630661,61707,crimv3mgpu020,10.141.0.25,4790.648779630661,0,50,"20_batch_size=1024,bidirectional=True,dropout_lin=0.29747,dropout_lstm=0.37724,hidden_dim=64,learning_rate=3.0321e-06,lstm_layers=2,lstm_output_dim=73,opt_step_size=11,weight_decay=1.2111e-05",3.032137497661754e-06,1024,True,2,64,73,0.3772441697767125,0.2974708786623653,11,1.211052036068904e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0]
fe200_00021,0.4168638586997986,0.5213487148284912,0.8127123117446899,0.7947146892547607,0.9931204915046692,0.7816007733345032,66.07984161376953,True,,,30,75e14c34a4ea435c935fb779b8e49ca3,2021-09-24_17-00-04,1632492004,2068.5700390338898,61715,crimv3mgpu020,10.141.0.25,2068.5700390338898,0,30,"21_batch_size=1024,bidirectional=False,dropout_lin=0.79544,dropout_lstm=0.0408,hidden_dim=64,learning_rate=0.00027418,lstm_layers=1,lstm_output_dim=72,opt_step_size=10,weight_decay=6.1753e-05",0.00027418156001293107,1024,False,1,64,72,0.04079961519125308,0.795441328314709,10,6.175300846065345e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0]
fe200_00022,0.5181528925895691,0.49286746978759766,0.8081669807434082,0.8091363906860352,0.9564348459243774,0.7881999611854553,359.5321958065033,True,,,6,ff4593629e744c7b92c52b96a0de7e69,2021-09-24_17-36-43,1632494203,2193.077091693878,61716,crimv3mgpu020,10.141.0.25,2193.077091693878,0,6,"22_batch_size=32,bidirectional=True,dropout_lin=0.45562,dropout_lstm=0.47733,hidden_dim=64,learning_rate=0.0099786,lstm_layers=1,lstm_output_dim=11,opt_step_size=15,weight_decay=0.0014405",0.009978554508218994,32,True,1,64,11,0.4773290099250702,0.45561803477517526,15,0.001440466961371858,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0]
fe200_00023,0.5432676672935486,0.0,0.7126719951629639,0.7126719951629639,1.0,0.5931099057197571,243.31989240646362,True,,,11,ce9d30b73627496baf4536a96beeda2f,2021-09-24_18-23-00,1632496980,2770.453959941864,61702,crimv3mgpu020,10.141.0.25,2770.453959941864,0,11,"23_batch_size=32,bidirectional=False,dropout_lin=0.9249,dropout_lstm=0.93178,hidden_dim=16,learning_rate=0.0024299,lstm_layers=1,lstm_output_dim=80,opt_step_size=17,weight_decay=0.0031376",0.0024299107054507264,32,False,1,16,80,0.9317807853287238,0.9248978259417192,17,0.0031376180697180126,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0]
fe200_00024,0.3628506064414978,0.632347583770752,0.8552401065826416,0.8720837831497192,0.933853805065155,0.8507454991340637,317.0845618247986,True,,,22,12b65cce1b2b4dddb3ef58783e6eb81f,2021-09-24_20-19-37,1632503977,6990.809426307678,61708,crimv3mgpu020,10.141.0.25,6990.809426307678,0,22,"24_batch_size=32,bidirectional=False,dropout_lin=0.15235,dropout_lstm=0.71644,hidden_dim=64,learning_rate=0.0012824,lstm_layers=2,lstm_output_dim=12,opt_step_size=5,weight_decay=1.276e-05",0.0012824263899816183,32,False,2,64,12,0.7164351650245375,0.15235058813125157,5,1.2760243947280018e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0]
fe200_00025,0.4084864556789398,0.554781973361969,0.8265051245689392,0.8104441165924072,0.9876205921173096,0.8027426600456238,80.79059791564941,True,,,14,661dd6083adb4bf0a7d481f475c71a61,2021-09-24_20-39-26,1632505166,1182.685602426529,61706,crimv3mgpu020,10.141.0.25,1182.685602426529,0,14,"25_batch_size=256,bidirectional=True,dropout_lin=0.75134,dropout_lstm=0.31332,hidden_dim=32,learning_rate=0.0012794,lstm_layers=1,lstm_output_dim=34,opt_step_size=4,weight_decay=4.7061e-05",0.0012793833466396753,256,True,1,32,34,0.3133202624579884,0.7513449999966604,4,4.706130868178957e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0]
fe200_00026,0.4468502402305603,0.5291723608970642,0.819460391998291,0.8313308954238892,0.9368128180503845,0.8079690933227539,83.02267265319824,True,,,32,728eec01839c46f1b1c84557e232e972,2021-09-24_21-25-10,1632507910,2738.1092689037323,61692,crimv3mgpu020,10.141.0.25,2738.1092689037323,0,32,"26_batch_size=128,bidirectional=False,dropout_lin=0.046905,dropout_lstm=0.70594,hidden_dim=8,learning_rate=0.058635,lstm_layers=2,lstm_output_dim=69,opt_step_size=16,weight_decay=1.4583e-05",0.05863488821681348,128,False,2,8,69,0.7059376816618881,0.046905441803603454,16,1.4582733013935371e-05,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0]
fe200_00027,0.41610807180404663,0.5770803689956665,0.8317528367042542,0.8660587668418884,0.903757631778717,0.8287394046783447,61.38175082206726,True,,,50,a2305b6a78fe4a57a950f1d6bb8ead13,2021-09-24_22-26-01,1632511561,3645.3891019821167,61701,crimv3mgpu020,10.141.0.25,3645.3891019821167,0,50,"27_batch_size=256,bidirectional=False,dropout_lin=0.38206,dropout_lstm=0.52447,hidden_dim=16,learning_rate=2.232e-06,lstm_layers=2,lstm_output_dim=10,opt_step_size=13,weight_decay=0.006551",2.2320439890921747e-06,256,False,2,16,10,0.5244663169730106,0.38206056007984446,13,0.006550963060086675,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0]
fe200_00028,0.42377448081970215,0.5984826683998108,0.841363787651062,0.8638244867324829,0.922271192073822,0.836758553981781,89.9558174610138,True,,,50,3fb0b7d807384d3490055fc0c0c1522a,2021-09-24_23-45-22,1632516322,4753.203799962997,61699,crimv3mgpu020,10.141.0.25,4753.203799962997,0,50,"28_batch_size=1024,bidirectional=True,dropout_lin=0.76142,dropout_lstm=0.88105,hidden_dim=64,learning_rate=4.4936e-06,lstm_layers=2,lstm_output_dim=100,opt_step_size=19,weight_decay=0.00108",4.493568984341079e-06,1024,True,2,64,100,0.8810509816478516,0.761415009555367,19,0.0010799965797814975,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0]
fe200_00029,0.3621434271335602,0.6362029314041138,0.8563191294670105,0.8754783868789673,0.9307783246040344,0.8524125814437866,480.62396812438965,True,,,6,de95ec7c27f040c5a426809f1ecfbedc,2021-09-25_00-35-20,1632519320,2991.5640120506287,61695,crimv3mgpu020,10.141.0.25,2991.5640120506287,0,6,"29_batch_size=32,bidirectional=True,dropout_lin=0.45045,dropout_lstm=0.35675,hidden_dim=128,learning_rate=0.00080819,lstm_layers=1,lstm_output_dim=66,opt_step_size=16,weight_decay=0.00021073",0.0008081936170840941,32,True,1,128,66,0.35674992707129516,0.4504478392186574,16,0.00021073268726122567,['main_y'],['main_y'],[],[<class 'torch.nn.modules.loss.BCEWithLogitsLoss'>],[1.0]
